Nº de Encuesta	Fecha de la  Aplicación de la Encuesta	Hora Inicio	"Condición del Encuestado Usuario (1)
Acompañante (2)"	Edad en años	Sexo M(1) F(2)	Nivel de Estudio Analfabeto (1) Primaria (2) Secundaria(3) Superior Tecnico(4) Superior Universitario (5)	"¿Tipo de seguro por el cual se atiende? 
SIS (1)
SOAT (2),
Ninguno (3)
Otro (4)"	"Tipo de paciente
 Nuevo (1),
Continuador (2)"	Especialidad donde fue atendido	E1	E2	E3	E4	E5	E6	E7	E8	E9	E10	E11	E12	E13	E14	E15	E16	E17	E18	E19	E20	E21	E22	P1	P2	P3	P4	P5	P6	P7	P8	P9	P10	P11	P12	P13	P14	P15	P16	P17	P18	P19	P20	P21	P22	Hora Final	Encuestadora	Duracion									
1	2019/10/03	08:48	2	40	2	3	1	2	CM-P1A	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	5	6	6	6	6	7	7	6	6	6	7	7	7	7	7	7	6	6	6	7	7	7	08:59	SNR	00:11									
2	2019/10/03	09:01	2	32	2	3	1	2	CC-UR	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	5	6	6	6	6	7	6	6	6	6	6	7	7	6	6	7	7	6	6	6	6	6	09:12	SNR	00:11									
3	2019/10/04	11:05	2	30	2	5	3	2	CM-P1A	7	7	7	7	7	7	7	7	6	7	7	7	7	7	7	7	7	7	6	7	7	7	6	6	6	7	7	5	5	99	6	6	6	6	6	5	6	7	6	6	6	6	6	5	11:16	IMM	00:11									
4	2019/10/04	10:50	2	27	2	3	1	2	CM-P1A	7	7	7	7	7	7	7	7	6	7	7	7	7	7	7	7	7	7	6	7	7	7	5	7	5	6	7	7	4	99	4	7	7	7	7	7	7	4	4	7	7	6	7	7	11:01	IMM	00:11									
5	2019/10/04	11:19	2	23	2	3	1	2	CM-P1A	7	7	7	7	7	7	7	7	6	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	99	6	7	7	7	7	7	7	7	7	7	7	6	7	11:30	IMM	00:11									
6	2019/10/04	10:17	2	26	2	3	1	1	CC-TR	6	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	6	7	6	7	5	7	7	7	5	7	7	7	7	7	7	5	7	7	6	7	6	7	10:28	IMM	00:11									
7	2019/10/04	10:33	1	33	2	3	1	2	CC-TR	6	7	7	6	7	7	5	7	7	7	7	7	7	6	7	5	7	7	7	7	7	7	7	7	6	6	5	7	5	6	7	7	6	7	7	7	7	7	7	7	7	7	7	7	10:44	IMM	00:11									
8	2019/10/04	10:03	2	34	2	2	1	2	CC-OF	7	7	7	5	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	4	7	7	7	7	99	7	7	7	7	7	7	7	7	7	7	7	7	7	10:13	IMM	00:10									
9	2019/10/04	15:09	2	29	2	3	1	2	CM-PT	6	7	6	6	6	5	6	5	6	6	6	6	6	6	6	7	7	7	7	7	7	7	4	5	6	6	6	7	7	7	6	7	6	5	5	4	5	5	6	6	5	6	7	7	15:20	SNR	00:11									
10	2019/10/04	14:55	2	28	2	4	1	2	CM-NRP	6	6	6	6	7	7	7	6	7	7	7	6	7	7	6	6	7	6	6	6	6	6	3	1	4	4	1	1	5	3	4	4	2	3	4	4	3	4	5	4	5	2	3	3	15:06	SNR	00:11									
11	2019/10/04	11:20	2	31	2	3	1	2	CC-UR	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	6	7	7	6	6	6	6	5	7	6	7	7	4	5	5	6	11:31	SNR	00:11									
12	2019/10/07	09:47	2	31	2	3	1	2	CC-OT	7	6	6	5	5	5	6	6	6	6	6	6	5	7	6	6	5	5	5	5	5	5	2	2	1	5	6	1	6	5	4	5	4	3	3	1	5	5	5	6	6	6	5	5	09:59	SNR	00:12									
13	2019/10/07	10:17	2	21	2	2	1	2	CC-CIR	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	4	7	7	5	5	99	7	1	2	2	7	7	1	1	6	7	7	1	7	10:30	SNR	00:13									
14	2019/10/07	10:32	2	20	2	3	1	2	CM-MF	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	5	7	7	7	7	7	99	99	99	7	6	7	7	5	6	7	7	5	6	6	7	7	10:43	SNR	00:11									
15	2019/10/07	15:22	2	42	2	3	3	2	CM-PT	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	6	7	6	6	3	6	6	99	99	7	5	5	6	7	6	7	6	6	7	7	7	7	15:33	SNR	00:11									
16	2019/10/07	10:48	2	26	2	3	3	2	CM-P1A	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	5	6	4	5	4	5	5	6	7	5	5	5	6	5	5	6	6	5	5	3	4	5	11:00	SNR	00:12									
17	2019/10/07	14:53	2	22	2	4	1	2	CM-NEF	7	6	5	5	5	5	4	4	4	4	5	5	4	4	5	5	5	5	5	4	4	4	6	6	7	3	1	6	7	99	5	6	1	7	6	7	7	5	6	7	7	1	7	7	15:04	SNR	00:11									
18	2019/10/07	15:06	2	38	2	2	1	2	CM-NEF	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	99	7	6	6	7	7	7	7	7	7	7	5	6	7	7	15:18	SNR	00:12									
19	2019/10/07	14:39	2	30	2	3	1	2	CM-MF	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	2	3	5	7	6	7	7	7	7	7	7	7	7	7	7	7	7	7	4	1	7	2	14:51	SNR	00:12									
20	2019/10/07	10:02	2	42	1	3	3	2	CC-TR	6	6	6	6	6	6	6	7	6	6	6	6	6	6	6	5	5	5	5	5	5	5	5	5	6	6	3	6	6	6	99	5	6	6	6	6	7	6	6	6	7	5	6	5	10:15	SNR	00:13									
21	2019/10/07	14:45	2	25	2	3	1	2	CM-PT	6	6	7	7	6	6	6	6	6	7	7	7	7	7	7	7	7	7	6	6	7	6	6	6	6	6	4	4	5	99	5	7	6	6	6	7	6	6	6	6	7	7	6	6	14:55	RLN	00:10									
22	2019/10/07	11:56	2	43	1	4	3	2	CM-CA	7	7	6	7	7	6	6	6	6	7	7	7	6	6	7	6	6	6	6	6	7	6	7	5	6	6	4	5	99	99	99	7	6	7	6	7	7	7	7	7	6	6	6	6	12:07	RLN	00:11									
23	2019/10/07	11:40	2	55	1	2	1	2	CM-GT	6	6	6	6	6	5	6	6	6	6	6	6	6	6	6	6	6	6	5	6	6	6	5	5	6	6	4	4	5	5	5	5	6	5	5	5	6	6	5	6	6	5	5	5	11:52	RLN	00:12									
24	2019/10/07	11:01	2	45	2	3	3	2	C-PC	6	6	7	7	6	6	5	5	5	7	7	7	7	7	7	7	7	7	6	6	7	7	6	6	7	7	5	6	99	99	99	7	7	7	7	6	7	7	99	99	7	6	7	7	11:12	RLN	00:11									
25	2019/10/07	10:45	2	37	2	3	3	2	C-OO	6	7	7	7	6	6	6	6	4	7	7	7	7	7	7	7	7	7	6	6	7	7	6	6	6	6	5	5	99	6	99	7	6	7	7	6	7	7	7	6	6	6	6	7	10:57	RLN	00:12									
26	2019/10/07	10:32	2	42	2	3	1	2	C-MEA	6	6	6	6	6	6	6	6	6	7	7	6	6	6	6	6	7	6	6	6	6	6	6	5	7	6	4	4	99	7	5	7	7	7	7	6	7	7	7	7	7	6	7	7	10:43	RLN	00:11									
27	2019/10/07	10:15	2	30	2	3	1	2	CM-P2B	6	6	6	6	6	5	6	6	6	7	7	7	7	7	7	7	7	7	7	7	7	6	6	5	6	7	4	3	4	99	4	7	6	6	7	6	7	7	7	7	7	6	7	7	10:26	RLN	00:11									
28	2019/10/07	10:00	2	29	2	3	1	2	CC-CG	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	6	5	6	6	3	4	5	4	5	7	6	6	6	6	6	6	6	6	6	6	6	6	10:10	RLN	00:10									
29	2019/10/07	09:45	2	39	2	3	1	2	CC-OF	4	6	7	7	6	5	5	6	5	5	7	7	6	6	6	6	6	6	6	6	6	6	5	4	5	5	3	4	99	99	4	6	5	5	5	6	6	6	5	6	6	6	5	5	09:56	RLN	00:11									
30	2019/10/07	09:30	2	35	2	3	1	2	CC-OF	6	6	7	6	6	6	6	6	6	6	7	7	7	6	6	7	6	6	6	6	6	6	6	4	5	6	4	4	99	99	4	6	4	4	7	7	7	6	6	99	7	6	7	7	09:41	RLN	00:11									
31	2019/10/09	09:20	2	39	2	3	1	2	CC-OT	7	7	7	6	6	7	7	6	6	6	6	6	6	6	6	6	6	6	7	5	6	7	5	6	7	5	5	6	7	6	6	6	7	7	6	6	6	6	6	6	6	6	6	5	09:32	SNR	00:12									
